DP_SECONDARY_ID,Primary Care Service Area (PCSA) Label,Primary Care Service Area ID,State Abbreviation,Total Primary Care Providers (PCPs),Non-Institutionalized Population,Ratio of Non-Institutionalized Population to Total Number of Primary Care Providers,Percent of PCSA in Rural Area,Population Age 0-14 Years,Population Age 15-64 Years,Population Age 65 Years or Greater,Percent of Population Age 0-14 Years,Percent of Population Age 15-64 Years,Percent of Population Age 65 Years or Greater,Population Male,Population Female,Percent of Population Male,Percent of Population Female,Percent of Population Black,Percent of Population Hispanic,Percent of Population Non-Black,Percent of Population Non-Hispanic,Percent of Population Non-White,Percent of Population White,Number of Women of Childbearing Age,Population American Indian and Alaska Native Alone,Population Asian Alone,Population Native Hawaiian and Other Pacific Islander Alone,Families for Whom Poverty Status was Determined,Families with Income Below 1.00 Times the U.S. Federal Poverty Level Percent of Total by Primary Care Service Area,Percent of Population with Known Income Below 1.00 Times the U.S. Poverty Guidelines by Primary Care Service Area,Percent of Population with Known Income Below 2.00 Times the U.S. Poverty Guidelines by Primary Care Service Area,Population Density,Rural Population,Total Population,Preference Index,Localization Index,Number of Primary Care Physicians,Number of Primary Care Physicians, Non-Federal,Number of Specialist Physicians, Non-Federal,Number of OB-GYN Physicians, Non-Federal,Number of Primary Care Physician Assistants,Number of GP/IM/Pediatric Physician Assistants,Number of OB/GYN Physician Assistants,Number of Physician Assistants with Specialty as Geriatrics or Unknown,Number of Dentists, Non-Federal, Full-Time Practice,Number of Dentists, Non-Federal, Part-Time Practice,Primary Care FTE Physicians for MUA or HPSA Purposes,Crude Rate: Primary Care Physicians, Clinically Active,Population Per Clinically Active Primary Care Physician,Number of Federally Qualified Health Center Look Alikes Located in PCSA,Number of Federally Qualified Health Centers Located in PCSA,Number of Tribal Run Sites Located in PCSA,Number of Indian Health Service Sites Located in PCSA,Number of Rural Health Clinics Located in PCSA,
"04013104600","AZ04_PHOENIX","04013104600","AZ","122","126769","1,039:1","0.0","24869","85026","15658","5.99","67.72","12.47","62007","63546","49.39","50.61","5.16","28.65","94.84","71.35","26.88","73.12","25564","3780","3856","196","30329","3707","16.83","38.44","4211.1103","0","125553","0.2601","0.2578","111","108","152","3","11","9","0","2","56","5","129.60","88.4089","1131.1081","1","2","0","0","0"
"04013422504","AZ03_MESA","04013422504","AZ","44","50655","1,151:1","0.0","11646","34963","3269","7.81","70.10","6.55","24775","25103","49.67","50.33","3.25","23.53","96.75","76.47","21.54","78.46","11220","703","1443","223","12095","740","8.72","23.72","4187.8330","0","49878","0.1419","0.1275","34","33","44","10","10","7","0","3","33","5","44.10","68.1663","1467.0000","","","","",""
"04013113400","AZ08_PHOENIX","04013113400","AZ","90","47059","523:1","0.0","13397","35021","4068","7.72","66.72","7.75","28533","23953","54.36","45.64","14.75","66.21","85.25","33.79","56.14","43.86","10859","1501","848","74","9331","3582","42.91","70.56","2196.3610","0","52486","0.2052","0.2082","75","72","162","8","15","7","0","8","8","3","101.00","142.8952","699.8133","5","5","0","0","0"
"04013217201","AZ02_SCOTTSDALE","04013217201","AZ","112","123281","1,101:1","0.0","17883","88885","18607","4.56","70.90","14.84","62977","62398","50.23","49.77","3.44","19.63","96.56","80.37","22.84","77.16","28092","7302","3062","222","25889","2509","16.15","34.90","1103.3845","3020","125375","0.5671","0.5816","100","98","247","10","12","10","0","2","77","11","118.60","79.7607","1253.7500","1","3","0","3","0"
"04013616400","AZ05_PHOENIX","04013616400","AZ","40","91555","2,289:1","0.0","20290","67391","6551","6.68","71.52","6.95","47497","46735","50.40","49.60","3.00","17.35","97.00","82.65","19.96","80.04","21563","1272","4697","183","22727","1375","9.66","25.92","1361.2649","2336","94232","0.2118","0.2147","36","36","99","6","4","2","0","2","26","3","44.10","38.2036","2617.5556","0","2","0","0","0"
"04015951900","AZ00_BULLHEAD CITY","04015951900","AZ","51","76558","1,501:1","8.9","12031","45440","18402","5.47","59.89","24.25","37674","38199","49.65","50.35","1.33","20.16","98.67","79.84","17.20","82.80","11064","1912","1003","130","20759","2648","18.31","41.03","23.5716","12748","75873","0.8521","0.8621","41","39","69","5","10","9","0","1","20","6","46.60","54.0377","1850.5610","0","3","0","0","0"
"04019004616","AZ02_TUCSON","04019004616","AZ","147","116889","795:1","0.0","24490","83079","17833","6.36","66.25","14.22","61774","63628","49.26","50.74","2.68","31.59","97.32","68.41","22.57","77.43","24280","2838","3504","176","29982","3395","15.58","36.84","220.3592","14084","125402","0.3234","0.3353","127","119","193","15","20","17","0","3","39","9","139.50","101.2743","987.4173","0","10","0","0","0"
"04021000802","AZ01_PINAL","04021000802","AZ","18","25780","1,432:1","94.5","5162","34263","10130","3.59","69.14","20.44","32809","16746","66.21","33.79","4.25","26.00","95.75","74.00","26.01","73.99","4450","4024","403","44","8632","678","12.03","26.82","29.2830","21022","49555","0.3232","0.3431","11","11","13","0","7","6","0","1","7","0","11.00","22.1976","4505.0000","0","3","0","0","0"
"04023966401","AZ00_NOGALES","04023966401","AZ","17","42114","2,477:1","99.9","11087","25930","4597","9.56","62.31","11.05","19742","21872","47.44","52.56","0.38","90.24","99.62","9.76","28.34","71.66","8496","253","224","15","8204","1870","26.63","55.61","80.5416","6942","41614","0.7483","0.7803","16","15","15","5","1","0","0","1","6","1","20.10","38.4486","2600.8750","0","6","0","0","0"
"06073018904","CA00_FALLBROOK","06073018904","CA","24","47562","1,982:1","0.0","8834","30286","8184","6.47","64.02","17.30","23548","23756","49.78","50.22","1.37","36.43","98.63","63.57","27.28","72.72","8341","323","1055","115","12610","777","9.31","26.91","376.0578","8332","47304","0.3713","0.3732","22","20","33","4","2","1","0","1","20","5","25.10","46.5077","2150.1818","0","1","0","0","0"
