dp_secondary_id,primary_care_service_area_pcsa_label,primary_care_service_area_id,state_abbreviation,total_primary_care_providers_pcps,non_institutionalized_population,ratio_of_non_institutionalized_population_to_total_number_of_primary_care_providers,percent_of_pcsa_in_rural_area,population_age_0_14_years,population_age_15_64_years,population_age_65_years_or_greater,percent_of_population_age_0_14_years,percent_of_population_age_15_64_years,percent_of_population_age_65_years_or_greater,population_male,population_female,percent_of_population_male,percent_of_population_female,percent_of_population_black,percent_of_population_hispanic,percent_of_population_non_black,percent_of_population_non_hispanic,percent_of_population_non_white,percent_of_population_white,number_of_women_of_childbearing_age,population_american_indian_and_alaska_native_alone,population_asian_alone,population_native_hawaiian_and_other_pacific_islander_alone,families_for_whom_poverty_status_was_determined,families_with_income_below_1_00_times_the_u_s_federal_poverty_level_percent_of_total_by_primary_care_service_area,percent_of_population_with_known_income_below_1_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,percent_of_population_with_known_income_below_2_00_times_the_u_s_poverty_guidelines_by_primary_care_service_area,population_density,rural_population,total_population,preference_index,localization_index,number_of_primary_care_physicians,number_of_primary_care_physicians_1,non_federal,number_of_specialist_physicians,non_federal_1,number_of_ob_gyn_physicians,non_federal_2,number_of_primary_care_physician_assistants,number_of_gp_im_pediatric_physician_assistants,number_of_ob_gyn_physician_assistants,number_of_physician_assistants_with_specialty_as_geriatrics_or_unknown,number_of_dentists,non_federal_3,full_time_practice,number_of_dentists_1,non_federal_4,part_time_practice,primary_care_fte_physicians_for_mua_or_hpsa_purposes,crude_rate_primary_care_physicians,clinically_active,population_per_clinically_active_primary_care_physician,number_of_federally_qualified_health_center_look_alikes_located_in_pcsa,number_of_federally_qualified_health_centers_located_in_pcsa,number_of_tribal_run_sites_located_in_pcsa,number_of_indian_health_service_sites_located_in_pcsa,number_of_rural_health_clinics_located_in_pcsa,x64
06019008100,CA00_COALINGA,06019008100,CA,11,17370,"1,579:1",100,5879,19806,1668,7.03,72.41,6.1,16985,10368,62.1,37.9,7.06,64.68,92.94,35.32,49.67,50.33,4613,320,498,48,3897,1181,35.31,68.26,26.5789,7897,27353,0.7083,0.693,7,7,6,0,4,2,0,2,6,1,8,25.5913,3907.5714,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06027000800,CA00_DEATH VALLEY,06027000800,CA,2,3199,"1,600:1",100,540,2178,660,5.06,64.48,19.54,1765,1613,52.25,47.75,0.44,25.37,99.56,74.63,27,73,514,245,34,6,832,133,17.41,40.64,0.4942,3378,3378,0.4085,0.3753,1,1,1,0,1,1,0,0,0,0,1.3,29.6033,3378,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06029002806,CA02_BAKERSFIELD,06029002806,CA,243,205925,847:1,78.3,50779,146652,21043,8,67.13,9.63,108717,109757,49.76,50.24,4.97,30.46,95.03,69.54,31.24,68.76,46201,2740,13490,416,53005,4736,11.5,26.41,189.3356,15475,218474,0.5393,0.5715,208,202,286,33,35,15,3,17,138,18,248.3,95.2058,1050.3558,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06033000802,CA00_CLEARLAKE,06033000802,CA,20,29260,"1,463:1",99.9,5440,19663,5127,6.25,65.04,16.96,15139,15091,50.08,49.92,2.68,17.25,97.32,82.75,20.48,79.52,4999,702,337,56,7136,1268,23.44,48.52,68.6848,6924,30230,0.6422,0.6653,18,18,5,0,2,2,0,0,6,3,17.5,59.5435,1679.4444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06089012701,CA00_BURNEY,06089012701,CA,4,5505,"1,376:1",23.7,1029,3546,1226,6.1,61.13,21.13,2874,2927,49.54,50.46,0.59,8.96,99.41,91.04,12.83,87.17,854,309,21,2,1621,206,15.95,38.67,3.581,2630,5801,0.2766,0.416,1,1,0,0,3,3,0,0,3,0,1,17.2384,5801,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06089010100,CA02_REDDING,06089010100,CA,69,64348,933:1,91.5,11361,43827,11391,6.02,65.83,17.11,32675,33904,49.08,50.92,0.94,7.5,99.06,92.5,12.34,87.66,12066,1683,1625,103,16720,2065,16.66,36.61,44.4758,15408,66579,0.3946,0.4131,61,58,63,1,8,5,0,3,35,10,61.5,91.6205,1091.459,0,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06095252502,CA00_FAIRFIELD,06095252502,CA,236,225211,954:1,1.5,49215,164709,24906,7.11,68.96,10.43,121188,117642,50.74,49.26,13.5,24.61,86.5,75.39,45.41,54.59,48153,2015,27692,2081,57301,3915,8.96,22.42,685.0123,10684,238830,0.778,0.8018,217,192,285,25,19,5,0,14,127,18,239.6,90.8596,1100.5991,0,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037500402,CA00_PICO RIVERA,06037500402,CA,10,40411,"4,041:1",0,9126,28309,5148,7.69,66.48,12.09,20928,21655,49.15,50.85,0.98,91.78,99.02,8.22,40.31,59.69,9244,640,875,34,8954,1029,12.64,37.12,7145.1122,0,42583,0.1503,0.1522,7,7,11,1,3,1,0,2,14,0,9.1,16.4385,6083.2857,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037533104,CA01_HUNTINGTON PARK,06037533104,CA,45,83671,"1,859:1",0,24498,57218,5019,9.27,65.97,5.79,43340,43395,49.97,50.03,5.32,93.54,94.68,6.46,58.28,41.72,20649,829,383,37,17435,4947,29.55,64.96,17068.2291,0,86735,0.1473,0.1386,37,37,24,5,8,5,0,3,25,2,42.5,42.6587,2344.1892,0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
06037533805,CA00_BELL,06037533805,CA,44,49849,"1,133:1",0,13592,33386,3195,9.15,66.54,6.37,25049,25124,49.93,50.07,0.87,94.22,99.13,5.78,47.46,52.54,11898,435,363,25,11047,2349,21.33,53.58,20645.3531,0,50173,0.2921,0.2951,38,38,16,7,6,4,0,2,17,3,45,75.7379,1320.3421,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
